accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-441,,coll405.png,"Rust College Campus News Briefs, March 23, 1981",Archive,Needs Review,,Needs Review,African American Education,Holly Springs,1980s,Robert E. Hayes,,1981-03-23,campus newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Campus News Briefs, volume IV, number 131, dated March 23, 1981, published by Rust College in Holly Springs, Mississippi. The issue includes commencement information naming Dr. Robert E. Hayes of Wiley College as speaker.",Documents routine campus communication and institutional life at Rust College, including commencement planning and student opportunities.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/81.png on 2026-07-26. Title, volume
SRM-2026-442,,coll406.png,"Reaction Magazine contents and staff pages, 1976",Archive,Needs Review,,Needs Review,Arts And Culture,Jackson,1970s,Roosevelt T. Sanders; Rufus Rawls; Theodore Bozeman Jr.; Glenda Cage; Bernice Washington; Leslie Range; Ralph A. Thurmon,,1976,magazine contents and staff pages,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Interior pages from Reaction Magazine, volume I, number I, published in Jackson, Mississippi, by Reaction Publishing and Distribution Company, Inc. The pages list editorial staff, contributors, photographers, circulation personnel, and contents.",Documents Black independent publishing in Jackson and preserves the named editorial network behind the first issue of Reaction Magazine.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/82.png on 2026-07-26. Publication title,volume number, date
SRM-2026-443,,coll407.png,"Campus Communicator, undated",Photograph,Needs Review,,Needs Review,Arts And Culture,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Faded newsletter front page featuring a portrait of a man and several columns of campus news.,Provides visual documentation related to campus communicator and supports interpretation of arts and culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/83.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Campus Communicator; undated; Arts And Culture; Geographies To Be Confirmed; portrait,
SRM-2026-444,,coll408.png,"SNCC list copy with annotations, 2003 copy of earlier material",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,United States,2000s,,,2003-02-06,annotated photocopy or faxed document,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Annotated copy of a document headed SNCC LIST, showing names, positions, addresses, and telephone numbers associated with the Student Nonviolent Coordinating Committee. The page includes later fax and print timestamps, including February 6, 2003, and handwritten annotations.",Documents later preservation, recirculation, and annotation of civil-rights-era organizational information rather than an original SNCC office list.,Imported from the Stumps folder on July 26; 2026; provenance to be confirmed.,Imported from /Users/Birittany/Downloads/Stumps/84.png on 2026-07-26. Fax header
SRM-2026-445,,coll409.png,"Reaction Magazine contents and staff pages, alternate view, 1976",Archive,Needs Review,,Needs Review,Arts And Culture,Jackson,1970s,Roosevelt T. Sanders; Rufus Rawls; Theodore Bozeman Jr.; Willie O. Adams; Chester Moten,,1976,magazine contents and staff pages,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Alternate interior view of Reaction Magazine, volume I, number I, published in Jackson, Mississippi, by Reaction Publishing and Distribution Company, Inc., with additional visibility for contributors, photographers, and contents listings.",Documents Black independent publishing in Jackson and complements the other recorded staff-page view of Reaction Magazine.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/85.png on 2026-07-26. Publication title,volume number, date
SRM-2026-446,,coll410.png,"Head Start Newsletter: Potpourri, December 1977",Archive,Needs Review,,Needs Review,African American Education,Hinds County,1970s,,,1977-12,newsletter cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Newsletter Potpourri, volume IV, number II, Social Services Component, dated December 1977, for the Hinds County Project Head Start program.",Documents local Head Start communication and social-services programming in Hinds County during the late 1970s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/86.png on 2026-07-26. Program title,component label, volume number
SRM-2026-447,,coll411.png,"The Reconciler, April 1978",Archive,Needs Review,,Needs Review,Faith And Community Life,Jackson,1970s,John Perkins,,1978-04,church newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Front page of The Reconciler, volume 2, number 4, dated April 1978, a ministry publication of Voice of Calvary Ministries at 1655 St. Charles Street, Jackson, Mississippi. The issue features the article Real Love Heals Relationships by John Perkins.",Documents church-based community publishing in Jackson and links the issue to the ministry work of John Perkins and Voice of Calvary.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/87.png on 2026-07-26. Title,date, volume number
SRM-2026-448,,coll412.png,"The Monitor, September 1982",Archive,Needs Review,,Needs Review,Arts And Culture,Mississippi,1980s,John Hohn,,1982-09,arts newsletter or newspaper,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Issue of Monitor, volume 1, number 2, dated September 1982 and published by the Mississippi Cultural Arts Coalition. The page features The Arts and the Black Child and Survival Tactics for Artists in the 1980's by John Hohn.",Documents Mississippi Black arts advocacy and educational cultural programming through a coalition publication from the early 1980s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/88.png on 2026-07-26. Publication title,volume number, date
SRM-2026-449,,coll413.png,"The Rust College Sentinel, March 1981",Archive,Needs Review,,Needs Review,African American Education,Holly Springs,1980s,Eric Lawson,,1981-03,college newspaper,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Issue of The Rust College Sentinel, volume 5, number 1, dated March 1981, featuring the story Lawson Does Research at Argonne Laboratory.",Documents student achievement and campus news at Rust College, including research recognition for Eric Lawson.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/89.png on 2026-07-26. Newspaper title, volume number
SRM-2026-450,,coll414.png,"Kommuni-K-Kwarterly, 1978",Archive,Needs Review,,Needs Review,Arts And Culture,Jackson,1970s,,,1978,printed cultural quarterly,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Issue of Kommuni-K-Kwarterly, volume 1, number 1, described on the cover as the voice of the Nubian Kefentse Kultural Kommunity Incorporated and referencing the Southwest Center of Traditional Afrikan-Oriented Art and Culture.",Documents Black cultural self-definition, arts publishing, and community institution-building through a 1978 Jackson-area periodical.,Imported from the Stumps folder on July 26; 2026; provenance to be confirmed.,Imported from /Users/Birittany/Downloads/Stumps/90.png on 2026-07-26. Cover title
SRM-2026-451,,coll415.png,"Soul Force, February 1984",Archive,Needs Review,,Needs Review,Arts And Culture,Oxford,1980s,,,1984-02,community newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Issue of Soul Force published by the Oxford Development Association for Black History Month, dated February 1984, and carrying the line One People One Aim One Destiny.",Documents Black community expression and local organizing in Oxford through a Black History Month publication.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/91.png on 2026-07-26. Publication title,sponsoring organization, date
SRM-2026-452,,coll416.png,"Southern Black Cultural Newsletter, May 1981",Archive,Needs Review,,Needs Review,Arts And Culture,South,1980s,John O'Neal,,1981-05,regional cultural newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Southern Black Cultural Newsletter, volume II, number 1, dated May 1981, containing items on the SBCA Waveland, Mississippi conference, the 1981 Hoo-Doo Poetry Festival, John O'Neal, Congo Square, and related cultural work.",Documents regional Black cultural organizing and newsletter exchange across the South in the early 1980s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/92.png on 2026-07-26. Publication title,volume number, date
SRM-2026-453,,coll417.png,"Smith Robertson class collage, 1925",Photograph,Needs Review,,Needs Review,African American Education,Smith Robertson Campus,1920s,,,1925,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Framed composite of student portraits arranged within the letters “SR” and bearing the motto “We Finish, To Begin.”",Provides visual documentation related to smith robertson class collage and supports interpretation of african american education.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/93.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Smith Robertson class collage; 1925; African American Education; Smith Robertson Campus; Smith Robertson; portrait,
SRM-2026-454,,coll418.png,"Portrait of an unidentified woman, undated",Photograph,Needs Review,,Needs Review,Family And Local Life,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Damaged full-length studio portrait of a woman wearing a long white dress and decorative hat or headpiece.,Provides visual documentation related to portrait of an unidentified woman and supports interpretation of family and local life.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/94.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Portrait of an unidentified woman; undated; Family And Local Life; Geographies To Be Confirmed; portrait,
